Person,Org,Role,Sub-Role,Book Title,Book Author,Book OL id,Book catalog slug,Source Type,Source Title,Source Link,Content,Date
Rachel Jones,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jack Dennison,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Nigel Andrews,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Ian Williamson,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Julia Benson,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Declan Kyle,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Robert Mackenzie,,Sales,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Jo Jacobs,,Operations,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Sharon Willis,,Operations,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Lisa Pryde,,Operations,,Things Can Only Get Better,David Barnett,OL38407882W,https://catalog.fyi/books/things-can-only-get-better-david-m-barnett,Credits Page,,,,
Mark Braude,,Author,,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Kimberly Burns,Broadside PR,Publicity & Media,Publicist,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Becky Sweren,Aevitas Creative Management,Agent,Literary Agent,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Erin Files,Aevitas Creative Management,Subsidiary Rights,Foreign Rights,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Chelsey Heller,Aevitas Creative Management,Subsidiary Rights,Foreign Rights,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Allison Warren,Aevitas Creative Management,,,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Acknowledgements,,,,
David Kuhn,Aevitas Creative Management,,,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Acknowledgements,,,,
Mags Chmielarczyk,W.W. Norton,Subsidiary Rights,Foreign Rights,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Amy Cherry,W.W. Norton,Editor,VP and Senior Editor,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Huneeya Siddiqui,W.W. Norton,Editor,Editorial Assistant,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Ingsu Liu,W.W. Norton,Art & Design,Art Director,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Meredith McGinnis,W.W. Norton,Marketing,Director of Marketing,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Gabby Nugent,W.W. Norton,Publicity & Media,Publicist,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Jaya Micelli,Two Roads,Art & Design,Cover Design,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Kate Craigie,Two Roads,Editor,UK Editor,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Charlotte Robathan,Two Roads,Editor,UK Assistant Editor,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Charlotte Hutchinson,Suhrkamp,Publicity & Media,UK Senior Publicity Manager,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Thomas Wollermann,Neri Pozza,Translator,Translator Germany,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Allesandro Zabini,Arkady,Translator,Translator Italy,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Dagmara Budzbon-Szymańska,,Translator,Translator Poland,Kiki Man Ray,Mark Braude,OL25338027W,https://catalog.fyi/books/kiki-man-ray-mark-braude,Mark Braude,,,,
Adelle Waldman,,Author,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
James Lasdun,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Joshua Ferris,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Casey Cep,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Sam Graham-Felsen,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Shelia Heti,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Barbara Jones,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Ilana Tietlbaum,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Charles Finch,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Laura Kipnis,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Lydia Kiesling,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Matthew Bonds,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Jonathan Franzen,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Karan Mahajan,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Charles Bock,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Michelle Orange,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Robin Shutinaya,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Teshena Dixon,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
John Renner,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Steve Waldman,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Carlin Flora,,Early Reader,Highlighted,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Elyse Cheney,The Cheney Agency,Agent,Founder and Agent,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Adam Eaglin,The Cheney Agency,Agent,Vice President and Agent,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Kassie Evashevski,,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Natasha Fairweather,,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Grace Johnson,The Cheney Agency,Agent,Agency Associate and Foreign Rights Associate,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Beniamino Ambrosi,The Cheney Agency,Agent,Foreign Rights Director and Agent,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Isable Mendia,The Cheney Agency,Agent,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Claire Gillespie,,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Matt Weiland,W. W. Norton,Editor,Acquiring Editor,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Huneeya Siddiqui,W. W. Norton,Editor,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Erin Sinesky Lovett,W. W. Norton,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Meredith McGinnis,W. W. Norton,Marketing,Director of Marketing,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Meredith Dowling,W. W. Norton,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Amy Robbins,W. W. Norton,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Don Rifkin,W. W. Norton,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Julia Druskin,W. W. Norton,Production,Production manager,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Derek Thornton,W. W. Norton,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Gregg Kulick,W. W. Norton,,,Help Wanted,Adelle Waldman,OL37578659W,,Acknowledgements,,,,
Evan Hughes,,Early Reader,,Help Wanted,Adelle Waldman,OL37578659W,,Title Page,,,,
Patrice Sheridan,,Art & Design,Book design,Help Wanted,Adelle Waldman,OL37578659W,,Title Page,,,,
John Merriman,,Recommender,,In The Forest of No Joy,JP Daughton,OL25765290W,,Blurb,,,,
Marcus Rediker,,Recommender,,In The Forest of No Joy,JP Daughton,OL25765290W,,Blurb,,,,
Aminatta Forna,,Recommender,,In The Forest of No Joy,JP Daughton,OL25765290W,,Blurb,,,,
Edward Berenson,,Recommender,,In The Forest of No Joy,JP Daughton,OL25765290W,,Blurb,,,,
Adam Hochschild,,Recommender,,In The Forest of No Joy,JP Daughton,OL25765290W,,Blurb,,,,
Tunku Varadarajan,,Commentator,,In The Forest of No Joy,JP Daughton,OL25765290W,,Review,Blood on the Tracks,https://www.wsj.com/articles/in-the-forest-of-no-joy-review-blood-on-the-tracks-africa-11628258836,,8/6/2021
Nicolas van de Walle,,Commentator,,In The Forest of No Joy,JP Daughton,OL25765290W,,Review,In The Forest of No Joy,https://www.foreignaffairs.com/reviews/capsule-review/2021-04-20/forest-no-joy-congo-ocean-railroad-and-tragedy-french-colonialism,,4/20/2021
Friedrich N. Ammermann,,Commentator,,In The Forest of No Joy,JP Daughton,OL25765290W,,Review,In The Forest of No Joy,https://muse.jhu.edu/article/868070,,11/1/2021
Thomas McClung,,Commentator,,In The Forest of No Joy,JP Daughton,OL25765290W,,Review,In The Forest of No Joy,https://www.nyjournalofbooks.com/book-review/forest-no-joy-congo,,7/20/2021
Roxanne Panchasi,,Interviewer,,In The Forest of No Joy,JP Daughton,OL25765290W,,Interview,In The Forest of No Joy,https://newbooksnetwork.com/in-the-forest-of-no-joy,,6/13/2023
Gordon Pirie,,Commentator,,In The Forest of No Joy,JP Daughton,OL25765290W,,Review,In The Forest of No Joy,https://journals.sagepub.com/doi/10.1177/00225266221112854?icid=int.sj-abstract.similar-articles.9,,7/12/2022
Adam Hochschild,,Commentator,,In The Forest of No Joy,JP Daughton,OL25765290W,,Review,The Cruelties of Empire,https://www.nybooks.com/articles/2022/11/24/the-cruelties-of-empire-legacy-of-violence/,,11/4/2022
Kate Bolick,,Recommender,,The Slip,Prudence Peiffer,OL31098976W,,Blurb,,,,
Alexander Nemerov,,Recommender,,The Slip,Prudence Peiffer,OL31098976W,,Blurb,,,,
Deborah Solomon,,Recommender,,The Slip,Prudence Peiffer,OL31098976W,,Blurb,,,,
Blake Gopnik,,Recommender,,The Slip,Prudence Peiffer,OL31098976W,,Blurb,,,,
Walker Mimms,,Commentator,,The Slip,Prudence Peiffer,OL31098976W,,Review,"At New York’s Coenties Slip, an Artist Colony and a ‘Rebellion’",https://www.nytimes.com/2023/07/27/books/review/the-slip-prudence-peiffer.html,,7/23/2023
Jackson Arn,,Commentator,,The Slip,Prudence Peiffer,OL31098976W,,Review,The Ramshackle Street That Shaped a Generation of Artists,https://www.newyorker.com/magazine/2023/08/14/the-slip-the-new-york-city-street-that-changed-american-art-forever-prudence-peiffer-book-review,,8/7/2023
Hamilton Cain,,Commentator,,The Slip,Prudence Peiffer,OL31098976W,,Review,A Group Biography of Dockside Artists,https://wsj.com/articles/the-slip-review-dockside-visionaries-574a78d7,,7/28/2023
Jenni Sorkin,,Commentator,,The Slip,Prudence Peiffer,OL31098976W,,Review,Love on the Docks,https://www.artforum.com/columns/how-a-forgotten-new-york-street-made-art-history-252954/,,8/30/2023
Tausif Noor,,Commentator,,The Slip,Prudence Peiffer,OL31098976W,,Review,How the New York Waterfront Shaped American Modernism,https://www.thenation.com/article/culture/the-slip-prudence-peiffer-review/,,11/6/2023
Hannah Marriott,,Commentator,,The Slip,Prudence Peiffer,OL31098976W,,Review,Remembering The Slip,https://www.theguardian.com/books/2023/aug/01/the-slip-new-york-agnes-martin-ellsworth-kelly,,8/1/2023
Keziah Weir,,Selector,,The Slip,Prudence Peiffer,OL31098976W,,Review,The 20 Best Books To Read In 2023,https://www.vanityfair.com/style/photos/our-20-favorite-books-of-2023,,12/12/2023
Elif Batuman,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,"Help Wanted is like a great nineteenth-century novel about now, at once an effervescent workplace comedy and a profoundly human exploration of the psychic toll exacted by the labor market. The characters are so richly drawn—so full, under all their defenses, of the desire to be loved—that even the annoying ones will win your heart. Adelle Waldman is a master.",
Joshua Ferris,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,"In Help Wanted, the tragic heroes of the gig economy, full of dreams and sob stories and what-if scenarios, concoct a plot to better their lives. Yet even as frustrations mount and their plot goes sideways, hope never dies. Adelle Waldman delivers both a brilliant diagnosis and a moving account of retail workers hidden in plain sight all around us, whose full humanity has never been so richly displayed or touchingly rendered.",
Keith Gessen,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,"A serious moral inquiry into the lives of a group of people who work in a big-box store, Help Wanted is a novel about work, about the retail industry in the age of Amazon, and about the effects of late capitalism on human relations. It is also hard to put down.",
Michelle Orange,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,What a gorgeous and ingenious and heartfelt work Help Wanted is!,
Gary Shteyngart,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,I can’t think of a book more necessary. Adelle Waldman takes us into the universe of American labor with generosity and compassion. It has been a while since workers have been portrayed through the lens of a novelist with such insight and attention to the details of service industry life. Simply enthralling.,
Richard Russo,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,"Help Wanted isn’t just smart and funny and wise. It’s also important—vital, really—to our understanding of how and why the American dream is becoming increasingly inaccessible to working class Americans, even as that long-shot dream stubbornly refuses to die.",
Charles Bock,,Recommender,,Help Wanted,Adelle Waldman,OL37578659W,,Blurb,,,"Help Wanted is a marvelous novel. We get to eavesdrop and follow and enjoy the misadventures of the motley cast working the four in the morning shift (unloading trucks at a big box store, a place none of these workers can afford). On one level this is about economics and gentrification; on another level it is about people struggling to keep themselves from drowning; meanwhile there are hijinks so funny you blow your tea out of your nose; there’s a perfectly absurd plot straight out of Catch-22. We want everyone to get that lifesaving promotion. The worst thing about this novel is that I finished it and can’t ever read it again for the first time. But now it is part of my life. I am thankful to Adelle Waldman for being brave and talented and bighearted enough to have created this gift.",
Michelle Goldberg,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,Adelle Waldman’s Journey From Brooklyn Literati to a Big Box Store,https://www.nytimes.com/2024/03/04/opinion/adelle-waldman-help-wanted.html,,3/4/2024
Emily Gould,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,Adelle Waldman Takes the Early Shift,https://www.thecut.com/article/adelle-waldman-help-wanted-interview.html,,2/29/2024
Alexandra Chang,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,High-Stakes Capers Starring Low-Wage Workers,https://www.nytimes.com/2024/02/27/books/review/green-dot-madeleine-gray-help-wanted-adelle-waldman.html,,2/27/2024
Katy Waldman,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,A Novelist of Privileged Youth Finds a New Subject,https://www.newyorker.com/books/under-review/a-novelist-of-privileged-youth-finds-a-new-subject,,3/6/2024
Kevin Power,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,Help Wanted by Adelle Waldman review – acid comedy of precarity,https://www.theguardian.com/books/2024/mar/13/help-wanted-by-adelle-waldman-review-acid-comedy-of-precarity,,3/13/2024
Jordan Kisner,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,A Big-Box-Store Allegory,https://www.theatlantic.com/magazine/archive/2024/03/help-wanted-book-review-adelle-waldman/677176/,,2/9/2024
Maureen Corrigan,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,Big-box store workers find themselves shut out of the American Dream in 'Help Wanted',https://www.npr.org/2024/03/13/1238010097/adelle-waldman-help-wanted-book-review,,3/13/2024
Sam Sacks,,Selector,,Help Wanted,Adelle Waldman,OL37578659W,,Review,,https://www.wsj.com/arts-culture/books/fiction-gabriel-garcia-marquezs-final-novel-until-august-1fb17877,,3/6/2024
Bethanne Patrick,,Selector,,Help Wanted,Adelle Waldman,OL37578659W,,Review,10 books to add to your reading list in March,https://www.latimes.com/entertainment-arts/books/story/2024-03-01/books-to-read-march-2024-reading-list-spring,,3/1/2024
Shannon Carlin,,Selector,,Help Wanted,Adelle Waldman,OL37578659W,,Review,Here Are the 13 Books You Should Read in March,https://time.com/6835426/best-new-books-march-2024/,,2/29/2024
Taylor Antrim,,Selector,,Help Wanted,Adelle Waldman,OL37578659W,,Review,The Best Books of 2024 So Far,https://www.vogue.com/article/best-books-2024,,5/3/2024
Tom Socca,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,Labor Pains,https://airmail.news/issues/2024-3-9/labor-pains,,3/9/2024
James Graff,,Commentator,,Help Wanted,Adelle Waldman,OL37578659W,,Review,,https://www.thenationalbookreview.com/features/2024/3/3/review-low-wage-retail-workers-finally-get-the-vivid-novel-they-deserve,,
Ron Charles,,Commentator,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Review,,https://www.washingtonpost.com/entertainment/books/the-love-affairs-of-nathaniel-p-a-delectable-dark-account-of-manhattan-amour/2013/07/16/f60b8128-e972-11e2-a301-ea5a8116d211_story.html,,7/16/2013
Marc Tracy,,Commentator,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Review,All The Sad Young Literary Men Are Jerks,https://newrepublic.com/article/114123/love-affairs-nathan-p-review-new-masculinity,,8/1/2013
Lena Dunham,,Recommender,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Blurb,,,"“Nate is almost too real. Mark my words: This book will inspire laughter, chills of recognition, and flights into lesbianism.”",
Julie Elliott,,Commentator,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Review,,https://www.libraryjournal.com/review/the-love-affairs-of-nathaniel-p,,1/6/2013
Jess Walter,,Commentator,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Review,Bright Young Things,https://www.nytimes.com/2013/07/14/books/review/adelle-waldmans-love-affairs-of-nathaniel-p.html,,7/12/2013
Maria Russo,,Commentator,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Review,"Brooklyn, Where Exes May Lurk, Tests an Emotional Fugitive",https://www.nytimes.com/2013/08/05/books/in-love-affairs-of-nathaniel-p-women-flummox-a-writer.html,,8/4/2013
Maureen Corrigan,,Commentator,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Review,"Love Affairs' Of A Hip, Young Literary Hound Dog",https://www.npr.org/2013/08/06/206716384/love-affairs-of-a-hip-young-literary-hound-dog,,8/6/2013
Evan Allgood,,Interviewer,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Interview,Human Relationships Are Hard: An Interview With Adelle Waldman,https://lareviewofbooks.org/article/human-relationships-are-hard-an-interview-with-adelle-waldman/,,
Megan O'Grady,,Interviewer,,The Love Affairs of Nathaniel P.,Adelle Waldman,OL16805768W,,Interview,Millenium Man,https://www.vogue.com/article/millennium-man-five-questions-for-the-love-affairs-of-nathaniel-p-author-adelle-waldman,,6/16/2013
Margo Shickmanter,Penguin Random House,Editor,,Fruit of the Drunken Tree,Ingrid Rojas Contreras,,,Publisher Website,,https://editors.simonandschuster.com/editor/shickmanter-margo/,,
Margo Shickmanter,Penguin Random House,Editor,,My Sister the Serial Killer,Sophie Mackintosh,,,Publisher Website,,https://editors.simonandschuster.com/editor/shickmanter-margo/,,
Margo Shickmanter,Penguin Random House,Editor,,The Water Cure,Oyinkan Braithwaite,,,Publisher Website,,https://editors.simonandschuster.com/editor/shickmanter-margo/,,
Margo Shickmanter,Penguin Random House,Editor,,Look How Happy I Am Making You,Polly Rosenwaike,,,Publisher Website,,https://editors.simonandschuster.com/editor/shickmanter-margo/,,
